left,bottom,right,top,Area
158000,5946000,159000,5947000,997940.213
158000,5947000,159000,5948000,997940.236
153000,5944000,154000,5945000,997856.037
157000,5943000,158000,5944000,997923.581
157000,5944000,158000,5945000,993585.288
158000,5943000,159000,5944000,997940.291
158000,5944000,159000,5945000,997940.24
99000,5951000,100000,5952000,996869.354
99000,5952000,100000,5953000,996869.624
100000,5949000,101000,5950000,985893.968
100000,5950000,101000,5951000,996888.994
100000,5951000,101000,5952000,996889.023
101000,5934000,102000,5935000,996908.339
101000,5935000,102000,5936000,996908.424
101000,5936000,102000,5937000,995685.507
101000,5937000,102000,5938000,988561.321
101000,5938000,102000,5939000,996908.461
101000,5947000,102000,5948000,996908.594
101000,5948000,102000,5949000,996908.507
101000,5949000,102000,5950000,996908.401
101000,5950000,102000,5951000,996908.528
101000,5951000,102000,5952000,996908.669
102000,5933000,103000,5934000,995123.224
102000,5934000,103000,5935000,996927.759
102000,5935000,103000,5936000,996927.931
102000,5936000,103000,5937000,996927.996
102000,5937000,103000,5938000,996927.774
102000,5938000,103000,5939000,996927.913
102000,5939000,103000,5940000,996927.744
102000,5946000,103000,5947000,996927.97
102000,5947000,103000,5948000,996927.875
102000,5948000,103000,5949000,996927.935
102000,5949000,103000,5950000,996928.03
102000,5950000,103000,5951000,996927.98
102000,5951000,103000,5952000,996927.873
102000,5972000,103000,5973000,987499.202
102000,5973000,103000,5974000,996928.107
102000,5974000,103000,5975000,996928.286
102000,5975000,103000,5976000,996928.05
102000,5976000,103000,5977000,996928.108
102000,5980000,103000,5981000,996928.18
103000,5934000,104000,5935000,996947.342
103000,5935000,104000,5936000,996947.26
103000,5936000,104000,5937000,996947.252
103000,5937000,104000,5938000,996947.245
103000,5938000,104000,5939000,996947.256
103000,5939000,104000,5940000,996947.395
103000,5940000,104000,5941000,996947.3
103000,5941000,104000,5942000,996947.189
103000,5945000,104000,5946000,991214.582
103000,5946000,104000,5947000,996947.259
103000,5947000,104000,5948000,996947.39
103000,5948000,104000,5949000,996947.333
103000,5949000,104000,5950000,996947.378
103000,5950000,104000,5951000,996947.512
103000,5951000,104000,5952000,996947.355
103000,5968000,104000,5969000,996947.665
103000,5969000,104000,5970000,996947.461
103000,5970000,104000,5971000,996947.594
103000,5971000,104000,5972000,996947.468
103000,5972000,104000,5973000,996947.623
103000,5973000,104000,5974000,996947.591
103000,5974000,104000,5975000,996947.502
103000,5975000,104000,5976000,996947.583
103000,5976000,104000,5977000,996947.604
103000,5977000,104000,5978000,996947.603
103000,5978000,104000,5979000,996947.498
103000,5979000,104000,5980000,996947.767
104000,5934000,105000,5935000,996966.599
104000,5935000,105000,5936000,996966.589
104000,5936000,105000,5937000,996966.652
104000,5937000,105000,5938000,996966.662
104000,5938000,105000,5939000,996966.546
104000,5939000,105000,5940000,996966.616
104000,5940000,105000,5941000,996966.665
104000,5941000,105000,5942000,996966.788
104000,5942000,105000,5943000,996966.712
104000,5945000,105000,5946000,996966.618
104000,5946000,105000,5947000,996966.867
104000,5947000,105000,5948000,996966.721
104000,5948000,105000,5949000,996966.624
104000,5949000,105000,5950000,996966.822
104000,5950000,105000,5951000,996966.796
104000,5951000,105000,5952000,996966.519
104000,5952000,105000,5953000,994155.101
104000,5963000,105000,5964000,988911.875
104000,5964000,105000,5965000,996966.885
104000,5965000,105000,5966000,996966.914
104000,5966000,105000,5967000,996966.912
104000,5967000,105000,5968000,996966.931
104000,5968000,105000,5969000,996966.618
104000,5969000,105000,5970000,996966.983
104000,5970000,105000,5971000,996967.019
104000,5971000,105000,5972000,996966.944
104000,5972000,105000,5973000,996966.878
104000,5973000,105000,5974000,996966.701
104000,5974000,105000,5975000,996967.055
104000,5975000,105000,5976000,996966.938
104000,5976000,105000,5977000,996966.991
104000,5977000,105000,5978000,996966.946
104000,5978000,105000,5979000,996967.01
104000,5979000,105000,5980000,996966.805
105000,5933000,106000,5934000,996985.96
105000,5934000,106000,5935000,996986.037
105000,5935000,106000,5936000,996985.916
105000,5936000,106000,5937000,996985.924
105000,5937000,106000,5938000,996986.007
105000,5938000,106000,5939000,996986
105000,5939000,106000,5940000,996985.996
105000,5940000,106000,5941000,996986.067
105000,5941000,106000,5942000,996985.866
105000,5942000,106000,5943000,996985.901
105000,5943000,106000,5944000,996985.992
105000,5944000,106000,5945000,996985.975
105000,5945000,106000,5946000,996986.245
105000,5946000,106000,5947000,996985.921
105000,5947000,106000,5948000,996985.924
105000,5948000,106000,5949000,996986.159
105000,5949000,106000,5950000,996985.978
105000,5950000,106000,5951000,996985.942
105000,5951000,106000,5952000,996986.283
105000,5952000,106000,5953000,996985.974
105000,5953000,106000,5954000,996986.062
105000,5954000,106000,5955000,996986.072
105000,5963000,106000,5964000,996986.248
105000,5964000,106000,5965000,996986.128
105000,5965000,106000,5966000,996986.002
105000,5966000,106000,5967000,996986.123
105000,5967000,106000,5968000,996986.258
