Short_Name,Collection,Keyword,Spatial_Resolution (m),Temporal_Resolution,Path,Time_lag[d]
MCD12C1.006,Combined MODIS,Land Cover,5600,Yearly,MOTA,180
MCD12Q1.006,Combined MODIS,Land Cover,500,Yearly,MOTA,240
MCD12Q2.006,Combined MODIS,Land Cover,500,Yearly,MOTA,580
MCD15A2H.006,Combined MODIS,"Fraction of Photosynthetically Active Radiation (FPAR), Leaf Area Index (LAI)",500,Multi-Day,MOTA,10
MCD15A3H.006,Combined MODIS,"Fraction of Photosynthetically Active Radiation (FPAR), Leaf Area Index (LAI)",500,Multi-Day,MOTA,5
MCD18A1.006,Combined MODIS,Surface Radiance,5600,Daily,MOTA,19
MCD18A2.006,Combined MODIS,Surface Radiance,5600,Daily,MOTA,19
MCD19A1.006,Combined MODIS,Surface Reflectance,"500, 1000",Daily,MOTA,2
MCD19A2.006,Combined MODIS,Aerosol Optical Depth,1000,Daily,MOTA,2
MCD19A3.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Multi-Day,MOTA,10
MCD43A1.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF)",500,Daily,MOTA,9
MCD43A2.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF)",500,Daily,MOTA,9
MCD43A3.006,Combined MODIS,Albedo,500,Daily,MOTA,9
MCD43A4.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",500,Daily,MOTA,9999
MCD43C1.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF)",5600,Daily,MOTA,9999
MCD43C2.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),5600,Daily,MOTA,9999
MCD43C3.006,Combined MODIS,Albedo,5600,Daily,MOTA,9999
MCD43C4.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",5600,Daily,MOTA,9999
MCD43D01.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D02.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D03.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D04.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D05.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D06.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D07.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D08.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D09.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D10.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D11.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D12.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D13.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D14.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D15.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D16.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D17.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D18.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D19.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D20.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D21.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D22.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D23.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D24.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D25.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D26.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D27.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D28.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D29.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D30.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9999
MCD43D31.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Elevation, Quality",1000,Daily,MOTA,9999
MCD43D32.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9999
MCD43D33.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9999
