Short_Name,Collection,Keyword,Spatial_Resolution (m),Temporal_Resolution,Path,Time_lag[d],Number of Attributes,Attribute_0,Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7,Attribute_8,Attribute_9,Attribute_10,Attribute_11,Attribute_12,Attribute_13,Attribute_14,Attribute_15,Attribute_16,Attribute_17,Attribute_18,Attribute_19,Attribute_20,Attribute_21,Attribute_22,Attribute_23,Attribute_24,Attribute_25,Attribute_26,Attribute_27,Attribute_28,Attribute_29,Attribute_30,Attribute_31,Attribute_32,Attribute_33,Attribute_34,Attribute_35,Attribute_36,Attribute_37,Attribute_38,Attribute_39,Attribute_40,Attribute_41,Attribute_42,Attribute_43,Attribute_44,Attribute_45,Attribute_46,Attribute_47,Attribute_48,Attribute_49,Attribute_50,Attribute_51,Attribute_52,Attribute_53,Attribute_54,Attribute_55,Attribute_56,Attribute_57,Attribute_58,Attribute_59,Attribute_60,Attribute_61,Attribute_62,Attribute_63,Attribute_64,Attribute_65,Attribute_66,Attribute_67,Attribute_68,Attribute_69,Attribute_70,Attribute_71,Attribute_72,Attribute_73,Attribute_74
MCD12C1.006,Combined MODIS,Land Cover,5600,Yearly,MOTA,575,9.0,[3600x7200] Majority_Land_Cover_Type_1 MOD12C1 (8-bit unsigned integer),[3600x7200] Majority_Land_Cover_Type_1_Assessment MOD12C1 (8-bit unsigned integer),[3600x7200x17] Land_Cover_Type_1_Percent MOD12C1 (8-bit unsigned integer),[3600x7200] Majority_Land_Cover_Type_2 MOD12C1 (8-bit unsigned integer),[3600x7200] Majority_Land_Cover_Type_2_Assessment MOD12C1 (8-bit unsigned integer),[3600x7200x16] Land_Cover_Type_2_Percent MOD12C1 (8-bit unsigned integer),[3600x7200] Majority_Land_Cover_Type_3 MOD12C1 (8-bit unsigned integer),[3600x7200] Majority_Land_Cover_Type_3_Assessment MOD12C1 (8-bit unsigned integer),[3600x7200x11] Land_Cover_Type_3_Percent MOD12C1 (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD12Q1.006,Combined MODIS,Land Cover,500,Yearly,MOTA,604,13.0,[2400x2400] LC_Type1 MCD12Q1 (8-bit unsigned integer),[2400x2400] LC_Type2 MCD12Q1 (8-bit unsigned integer),[2400x2400] LC_Type3 MCD12Q1 (8-bit unsigned integer),[2400x2400] LC_Type4 MCD12Q1 (8-bit unsigned integer),[2400x2400] LC_Type5 MCD12Q1 (8-bit unsigned integer),[2400x2400] LC_Prop1_Assessment MCD12Q1 (8-bit unsigned integer),[2400x2400] LC_Prop2_Assessment MCD12Q1 (8-bit unsigned integer),[2400x2400] LC_Prop3_Assessment MCD12Q1 (8-bit unsigned integer),[2400x2400] LC_Prop1 MCD12Q1 (8-bit unsigned integer),[2400x2400] LC_Prop2 MCD12Q1 (8-bit unsigned integer),[2400x2400] LC_Prop3 MCD12Q1 (8-bit unsigned integer),[2400x2400] QC MCD12Q1 (8-bit unsigned integer),[2400x2400] LW MCD12Q1 (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD12Q2.006,Combined MODIS,Land Cover,500,Yearly,MOTA,940,13.0,[2400x2400] NumCycles MCD12Q2 (16-bit integer),[2400x2400x2] Greenup MCD12Q2 (16-bit integer),[2400x2400x2] MidGreenup MCD12Q2 (16-bit integer),[2400x2400x2] Peak MCD12Q2 (16-bit integer),[2400x2400x2] Maturity MCD12Q2 (16-bit integer),[2400x2400x2] Senescence MCD12Q2 (16-bit integer),[2400x2400x2] MidGreendown MCD12Q2 (16-bit integer),[2400x2400x2] Dormancy MCD12Q2 (16-bit integer),[2400x2400x2] EVI_Minimum MCD12Q2 (16-bit integer),[2400x2400x2] EVI_Amplitude MCD12Q2 (16-bit integer),[2400x2400x2] EVI_Area MCD12Q2 (16-bit integer),[2400x2400x2] QA_Overall MCD12Q2 (16-bit integer),[2400x2400x2] QA_Detailed MCD12Q2 (16-bit integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD15A2H.006,Combined MODIS,"Fraction of Photosynthetically Active Radiation (FPAR), Leaf Area Index (LAI)",500,Multi-Day,MOTA,10,6.0,[2400x2400] Fpar_500m MOD_Grid_MOD15A2H (8-bit unsigned integer),[2400x2400] Lai_500m MOD_Grid_MOD15A2H (8-bit unsigned integer),[2400x2400] FparLai_QC MOD_Grid_MOD15A2H (8-bit unsigned integer),[2400x2400] FparExtra_QC MOD_Grid_MOD15A2H (8-bit unsigned integer),[2400x2400] FparStdDev_500m MOD_Grid_MOD15A2H (8-bit unsigned integer),[2400x2400] LaiStdDev_500m MOD_Grid_MOD15A2H (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD15A3H.006,Combined MODIS,"Fraction of Photosynthetically Active Radiation (FPAR), Leaf Area Index (LAI)",500,Multi-Day,MOTA,5,6.0,[2400x2400] Fpar_500m MOD_Grid_MCD15A3H (8-bit unsigned integer),[2400x2400] Lai_500m MOD_Grid_MCD15A3H (8-bit unsigned integer),[2400x2400] FparLai_QC MOD_Grid_MCD15A3H (8-bit unsigned integer),[2400x2400] FparExtra_QC MOD_Grid_MCD15A3H (8-bit unsigned integer),[2400x2400] FparStdDev_500m MOD_Grid_MCD15A3H (8-bit unsigned integer),[2400x2400] LaiStdDev_500m MOD_Grid_MCD15A3H (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD18A1.006,Combined MODIS,Surface Radiance,5600,Daily,MOTA,19,12.0,[10x240x240] DSR MODISRAD (32-bit floating-point),[10x240x240] Direct MODISRAD (32-bit floating-point),[10x240x240] Diffuse MODISRAD (32-bit floating-point),[240x240] GMT_0000_DSR MODISRAD (32-bit floating-point),[240x240] GMT_0300_DSR MODISRAD (32-bit floating-point),[240x240] GMT_0600_DSR MODISRAD (32-bit floating-point),[240x240] GMT_0900_DSR MODISRAD (32-bit floating-point),[240x240] GMT_1200_DSR MODISRAD (32-bit floating-point),[240x240] GMT_1500_DSR MODISRAD (32-bit floating-point),[240x240] GMT_1800_DSR MODISRAD (32-bit floating-point),[240x240] GMT_2100_DSR MODISRAD (32-bit floating-point),[240x240] DSR_Quality MODISRAD (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD18A2.006,Combined MODIS,Surface Radiance,5600,Daily,MOTA,19,12.0,[6x240x240] PAR MODISRAD (32-bit floating-point),[6x240x240] Direct MODISRAD (32-bit floating-point),[6x240x240] Diffuse MODISRAD (32-bit floating-point),[240x240] GMT_0000_PAR MODISRAD (32-bit floating-point),[240x240] GMT_0300_PAR MODISRAD (32-bit floating-point),[240x240] GMT_0600_PAR MODISRAD (32-bit floating-point),[240x240] GMT_0900_PAR MODISRAD (32-bit floating-point),[240x240] GMT_1200_PAR MODISRAD (32-bit floating-point),[240x240] GMT_1500_PAR MODISRAD (32-bit floating-point),[240x240] GMT_1800_PAR MODISRAD (32-bit floating-point),[240x240] GMT_2100_PAR MODISRAD (32-bit floating-point),[240x240] PAR_Quality MODISRAD (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD19A1.006,Combined MODIS,Surface Reflectance,"500, 1000",Daily,MOTA,1,34.0,[3x1200x1200] Sur_refl1 grid1km (16-bit integer),[3x1200x1200] Sur_refl2 grid1km (16-bit integer),[3x1200x1200] Sur_refl3 grid1km (16-bit integer),[3x1200x1200] Sur_refl4 grid1km (16-bit integer),[3x1200x1200] Sur_refl5 grid1km (16-bit integer),[3x1200x1200] Sur_refl6 grid1km (16-bit integer),[3x1200x1200] Sur_refl7 grid1km (16-bit integer),[3x1200x1200] Sur_refl8 grid1km (16-bit integer),[3x1200x1200] Sur_refl9 grid1km (16-bit integer),[3x1200x1200] Sur_refl10 grid1km (16-bit integer),[3x1200x1200] Sur_refl11 grid1km (16-bit integer),[3x1200x1200] Sur_refl12 grid1km (16-bit integer),[3x1200x1200] Sigma_BRFn1 grid1km (16-bit integer),[3x1200x1200] Sigma_BRFn2 grid1km (16-bit integer),[3x1200x1200] Snow_Fraction grid1km (16-bit integer),[3x1200x1200] Snow_Grain_Size grid1km (16-bit integer),[3x1200x1200] Snow_Fit grid1km (16-bit integer),[3x1200x1200] Status_QA grid1km (16-bit unsigned integer),[3x2400x2400] Sur_refl_500m1 grid500m (16-bit integer),[3x2400x2400] Sur_refl_500m2 grid500m (16-bit integer),[3x2400x2400] Sur_refl_500m3 grid500m (16-bit integer),[3x2400x2400] Sur_refl_500m4 grid500m (16-bit integer),[3x2400x2400] Sur_refl_500m5 grid500m (16-bit integer),[3x2400x2400] Sur_refl_500m6 grid500m (16-bit integer),[3x2400x2400] Sur_refl_500m7 grid500m (16-bit integer),[3x240x240] cosSZA grid5km (16-bit integer),[3x240x240] cosVZA grid5km (16-bit integer),[3x240x240] RelAZ grid5km (16-bit integer),[3x240x240] Scattering_Angle grid5km (16-bit integer),[3x240x240] SAZ grid5km (16-bit integer),[3x240x240] VAZ grid5km (16-bit integer),[3x240x240] Glint_Angle grid5km (16-bit integer),[3x240x240] Fv grid5km (32-bit floating-point),[3x240x240] Fg grid5km (32-bit floating-point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD19A2.006,Combined MODIS,Aerosol Optical Depth,1000,Daily,MOTA,1,13.0,[3x1200x1200] Optical_Depth_047 grid1km (16-bit integer),[3x1200x1200] Optical_Depth_055 grid1km (16-bit integer),[3x1200x1200] AOD_Uncertainty grid1km (16-bit integer),[3x1200x1200] FineModeFraction grid1km (16-bit integer),[3x1200x1200] Column_WV grid1km (16-bit integer),[3x1200x1200] AOD_QA grid1km (16-bit unsigned integer),[3x1200x1200] AOD_MODEL grid1km (8-bit unsigned integer),[3x1200x1200] Injection_Height grid1km (32-bit floating-point),[3x240x240] cosSZA grid5km (16-bit integer),[3x240x240] cosVZA grid5km (16-bit integer),[3x240x240] RelAZ grid5km (16-bit integer),[3x240x240] Scattering_Angle grid5km (16-bit integer),[3x240x240] Glint_Angle grid5km (16-bit integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD19A3.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Multi-Day,MOTA,10,5.0,[8x1200x1200] Kiso grid1km (16-bit integer),[8x1200x1200] Kvol grid1km (16-bit integer),[8x1200x1200] Kgeo grid1km (16-bit integer),[8x1200x1200] Sur_albedo grid1km (16-bit integer),[1200x1200] UpdateDay grid1km (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
